Image Sticker,Slice Index,Model,IoU,Dice
lung_073,339,EfficientSAM (VIT-small),0.4260355029585799,0.5975103734439834
lung_073,340,EfficientSAM (VIT-tiny),0.3823529411764705,0.5531914893617021
lung_073,340,EfficientSAM (VIT-small),0.5120643431635389,0.6773049645390071
lung_073,341,EfficientSAM (VIT-tiny),0.419753086419753,0.591304347826087
lung_073,341,EfficientSAM (VIT-small),0.453427065026362,0.6239419588875453
lung_073,342,EfficientSAM (VIT-tiny),0.4884210526315789,0.6562942008486563
lung_073,342,EfficientSAM (VIT-small),0.4936708860759494,0.6610169491525424
lung_073,343,EfficientSAM (VIT-tiny),0.5357142857142857,0.6976744186046512
lung_073,343,EfficientSAM (VIT-small),0.5024630541871922,0.6688524590163935
lung_073,344,EfficientSAM (VIT-tiny),0.5321100917431193,0.6946107784431138
lung_073,344,EfficientSAM (VIT-small),0.517799352750809,0.6823027718550106
lung_073,345,EfficientSAM (VIT-tiny),0.4379084967320261,0.6090909090909091
lung_073,345,EfficientSAM (VIT-small),0.2545454545454545,0.4057971014492754
lung_073,346,EfficientSAM (VIT-tiny),0.4320987654320987,0.603448275862069
lung_073,346,EfficientSAM (VIT-small),0.234375,0.379746835443038
lung_073,347,EfficientSAM (VIT-tiny),0.4630872483221476,0.6330275229357798
lung_073,347,EfficientSAM (VIT-small),0.2234042553191489,0.3652173913043478
lung_073,348,EfficientSAM (VIT-tiny),0.1058823529411764,0.1914893617021276
lung_073,348,EfficientSAM (VIT-small),0.2926829268292683,0.4528301886792453
lung_073,349,EfficientSAM (VIT-tiny),0.09009009009009,0.1652892561983471
lung_073,349,EfficientSAM (VIT-small),0.1333333333333333,0.2352941176470588
